,loss,accuracy,val_loss,val_accuracy,times
0,0.41944238543510437,0.8069273233413696,0.3908381164073944,0.8234999775886536,381.38500022888184
1,0.38447025418281555,0.8266968727111816,0.37869900465011597,0.8293562531471252,373.1717915534973
2,0.37233975529670715,0.8336726427078247,0.3753091096878052,0.8320249915122986,373.3835184574127
3,0.36448392271995544,0.8376679420471191,0.3773912787437439,0.8303874731063843,364.3669447898865
4,0.3590720295906067,0.8405226469039917,0.3752734959125519,0.8320500254631042,370.7132284641266
5,0.3546428680419922,0.842912495136261,0.37348437309265137,0.8329687714576721,369.80929255485535
6,0.35108160972595215,0.8446054458618164,0.37488630414009094,0.8315687775611877,366.3093695640564
7,0.34817367792129517,0.846276581287384,0.3752041161060333,0.8315187692642212,366.94583201408386
8,0.34573379158973694,0.8475906252861023,0.37423771619796753,0.8335687518119812,371.34428429603577
9,0.3437787592411041,0.848464846611023,0.3753797709941864,0.8314375281333923,368.5071392059326
10,0.3419845402240753,0.8494094014167786,0.3761778771877289,0.8324687480926514,365.5348379611969
11,0.34021422266960144,0.8503664135932922,0.3801584541797638,0.8301249742507935,363.39785146713257
12,0.33902329206466675,0.8507937788963318,0.3781166970729828,0.8320437669754028,360.41564297676086
13,0.33757221698760986,0.8515672087669373,0.3784202039241791,0.8308500051498413,359.44333004951477
14,0.3367936909198761,0.8520101308822632,0.3799401521682739,0.8315125107765198,359.2808494567871
15,0.33600565791130066,0.8523874878883362,0.3872186541557312,0.8266000151634216,356.675998210907
16,0.3351939022541046,0.8527500033378601,0.38099393248558044,0.83160001039505,356.39134097099304
17,0.3345678746700287,0.8533015847206116,0.38522279262542725,0.8297749757766724,357.43105125427246
18,0.33440345525741577,0.853347659111023,0.38457536697387695,0.8297937512397766,363.16758966445923
19,0.3335784077644348,0.8537882566452026,0.3797933757305145,0.8302624821662903,366.8707072734833
